System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:34:02:312, 38684776164039,    0.106,   16.000, 1700,  14.323,   1.516,   0.421,   8.010,   0.848,   0.236, 52,  0,   0.000,   0.000,   0.000,   0.006,   0.001,   0.000,  70.000, 115.000, 210.000,   0.000, 209.000,   15,  88.889
18:34:02:421, 38685096458723,    0.216,   10.000, 4700,  23.769,   4.125,   1.146,  17.075,   2.722,   0.756, 55,  0,   0.000,   0.000,   0.000,   0.100,   0.012,   0.003,  70.000, 115.000, 210.000,   0.000, 209.000,   69,  88.534
18:34:02:529, 38685409849615,    0.323,    5.000, 1400,  11.487,   5.359,   1.488,   5.806,   3.345,   0.929, 49,  0,   0.000,   0.000,   0.000,   0.026,   0.014,   0.004,  70.000, 115.000, 210.000,   0.000, 209.000,   26,  89.916
18:34:02:637, 38685725929133,    0.431,    7.000, 2700,   8.904,   6.323,   1.756,   2.751,   3.643,   1.012, 49,  0,   0.000,   0.000,   0.000,   0.010,   0.015,   0.004,  70.000, 115.000, 210.000,   0.000, 209.000,   17,  88.983
18:34:02:745, 38686042166245,    0.540,    9.000, 2100,  11.848,   7.607,   2.113,   5.966,   4.290,   1.192, 50,  0,   0.000,   0.000,   0.000,   0.007,   0.016,   0.004,  70.000, 115.000, 210.000,   0.000, 209.000,   20,  89.932
18:34:02:854, 38686359124119,    0.648,    6.000, 1400,   8.144,   8.491,   2.359,   2.160,   4.525,   1.257, 50,  0,   0.000,   0.000,   0.000,   0.008,   0.017,   0.005,  70.000, 115.000, 210.000,   0.000, 209.000,   16,  89.300
18:34:02:961, 38686672282729,    0.756,    8.000, 1100,   7.248,   9.269,   2.575,   1.596,   4.696,   1.304, 50,  0,   0.000,   0.000,   0.000,   0.009,   0.018,   0.005,  70.000, 115.000, 210.000,   0.000, 209.000,   17,  84.503
18:34:03:070, 38686990001291,    0.864,    8.000, 1900,   8.495,  10.194,   2.832,   2.419,   4.959,   1.378, 49,  0,   0.000,   0.000,   0.000,   0.008,   0.019,   0.005,  70.000, 115.000, 210.000,   0.000, 209.000,   20,  86.758
18:34:03:179, 38687308250015,    0.973,    7.000, 4700,  11.635,  11.463,   3.184,   5.525,   5.562,   1.545, 64,  0,   0.000,   0.000,   0.000,   0.006,   0.020,   0.005,  70.000, 115.000, 210.000,   0.000, 209.000,   19,  86.082
18:34:03:304, 38687673379279,    1.099,    7.000, 2100,  11.980,  12.961,   3.600,   6.139,   6.330,   1.758, 49,  0,   0.000,   0.000,   0.000,   0.009,   0.021,   0.006,  70.000, 115.000, 210.000,   0.000, 209.000,   17,  87.813
18:34:03:307, 38687682752994,    1.102,    6.000, 1600,  16.608,  13.015,   3.615,  10.394,   6.363,   1.768, 49,  0,   0.000,   0.000,   0.000,   0.038,   0.021,   0.006,  70.000, 115.000, 210.000,   0.000, 209.000,  299,  94.636

Total Elapsed Time (sec) = 1.101824
Measured RDTSC Frequency (GHz) = 2.918

Cumulative Processor Energy_0 (Joules) = 13.014771
Cumulative Processor Energy_0 (mWh) = 3.615214
Average Processor Power_0 (Watt) = 11.812027

Cumulative IA Energy_0 (Joules) = 6.363037
Cumulative IA Energy_0 (mWh) = 1.767510
Average IA Power_0 (Watt) = 5.775005

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000

Cumulative GT Energy_0 (Joules) = 0.020874
Cumulative GT Energy_0 (mWh) = 0.005798
Average GT Power_0 (Watt) = 0.018945
